"X","created_at","text","user_id","user_follower_count","sentiment_score","sentiment","group"
10908,2021-10-28 16:30:35,"<U+2066>@elonmusk<U+2069> <U+2066>@SpaceX<U+2069> 
What happened to mid to late 2021? <U+0001F629><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D><U+0001F62D> https://t.co/CBr98Dz5gg",936360206933594112,574,-0.25,"negative","200-1000"
11054,2021-10-28 16:31:43,"Elon Musk's cyborg child slave",1402846794938261504,5,-0.15,"negative","0-50"
11098,2021-10-28 16:32:06,"@elonmusk The question is, are you worthy?",2943520984,0,0.75,"positive","No follower"
11151,2021-10-28 16:32:37,"@elonmusk when you start your @Tesla company on india especially  at tamilnadu ?",1280531864701280256,1058,0,"neutral","1000-10000"
11453,2021-10-28 16:35:01,"Trending on #LunarCrush:

""#shibainucoin Hits New All-Time High, Becomes a Top-10 #cryptocurrency <U+0001F911><U+0001F680>

<U+2764><U+FE0F> Love and enjoy the moment! <U+267B><U+FE0F> Come @elonmusk join us!! Own a $SHIB and..."" via @ShibainuCoin

Top coin mentions
$leash $bone

https://t.co/b0wvcMISK9 #LunarShare",1448621334938804224,8,2.95,"positive","0-50"
11578,2021-10-28 16:36:01,"DC clowns, here is the solve.  CEOs avoid taxes with stock based packages

In the tax code you have exempt and nonexempt.  Add stock based.  This think triggers the unrealized gains tax.

Stocks are income here

cc: @SenateDems @SenateGOP @HouseDemocrats @HouseGOP @elonmusk",1338154438037565440,33,0.3,"positive","0-50"
11785,2021-10-28 16:37:54,"Ethereum Lovers Get Ready For ETH pump . Buy Ethereum Now                             @ShibuTeam  @lillyvivvi  @elonmusk @BabyDogeCoin @Shibtoken @SpaceX  follow me For more Prediction",723756577,44,1.05,"positive","0-50"
11889,2021-10-28 16:38:41,"@InuKishu @coinbase @elonmusk @krakensupport @kucoincom @coinexcom @ChinaPumpWXC @danheld #kishu <U+0001F4B8><U+0001F4AF><U+0001F48E>
Little memecoin, big dreams...
Buy &amp; hold<U+0001F525><U+0001F4B0>

@InuKishu #tenshi #kishu_army @coinbase @elonmusk @krakensupport @kucoincom @coinexcom @chinapumpwxc @danheld",1448634529330106368,10,0.5,"positive","0-50"
11895,2021-10-28 16:38:46,"COVID Gives Two Thumbs Down To Vaccine Idea",108810407,548,0,"neutral","200-1000"
12061,2021-10-28 16:40:03,"@LindaLi49032426 @elonmusk @BillyM2k Breaking news! It is a cool annual giveaway !
1oooooooo DOGE 5ooo BTC  will be distributed among everyone who takes part in this event.
 #doge  #dogecoin  #Ethereum  #Bitcoin  #ETH  #BTC
Join here<U+279C>.tesla-giveawayx10.c om",1449013780944457728,0,0.4,"positive","No follower"
12223,2021-10-28 16:41:14,"@1dogeBSC @elonmusk @BillyM2k This is amazing",1451395150203084800,9,0.5,"positive","0-50"
12254,2021-10-28 16:41:26,"@elonmusk @ecommerceshares Chinel still @elonmusk",330774080,867,0,"neutral","200-1000"
12256,2021-10-28 16:41:26,"What if Elon Musk wants to start a family? What will happen to The United States of America if he just gets pregnant and moves off to an OBGYN office?",1193750858204405760,10,0.5,"positive","0-50"
12317,2021-10-28 16:41:56,"@EsaMaheswari @elonmusk @atNickVega @CNBCMakeIt @jayleno SHIBASWAP:  BURY section is for the Official Twitter Account! $SHIB payme . Milestone for We love the mark.",2856115481,63,0.75,"positive","50-200"
12390,2021-10-28 16:42:31,"@elonmusk @ecommerceshares Elon deposit me a few million dollars, for you it is nothing",870435904954957824,11,0,"neutral","0-50"
